<TICKER>,<PER>,Date,<TIME>,Price
GDAX.BTC-USD,D,03/08/18,000000,7414.0800000
GDAX.BTC-USD,D,04/08/18,000000,7005.0000000
GDAX.BTC-USD,D,05/08/18,000000,7030.0100000
GDAX.BTC-USD,D,06/08/18,000000,6938.0000000
GDAX.BTC-USD,D,07/08/18,000000,6718.2200000
GDAX.BTC-USD,D,08/08/18,000000,6282.5000000
GDAX.BTC-USD,D,09/08/18,000000,6546.4500000
GDAX.BTC-USD,D,10/08/18,000000,6146.0100000
GDAX.BTC-USD,D,11/08/18,000000,6235.5600000
GDAX.BTC-USD,D,12/08/18,000000,6316.0100000
GDAX.BTC-USD,D,13/08/18,000000,6253.6700000
GDAX.BTC-USD,D,14/08/18,000000,6195.0100000
GDAX.BTC-USD,D,15/08/18,000000,6269.0100000
GDAX.BTC-USD,D,16/08/18,000000,6315.9000000
GDAX.BTC-USD,D,17/08/18,000000,6585.4900000
GDAX.BTC-USD,D,18/08/18,000000,6396.6400000
GDAX.BTC-USD,D,19/08/18,000000,6489.5300000
GDAX.BTC-USD,D,20/08/18,000000,6258.7400000
GDAX.BTC-USD,D,21/08/18,000000,6475.8900000
GDAX.BTC-USD,D,22/08/18,000000,6359.9900000
GDAX.BTC-USD,D,23/08/18,000000,6526.3600000
GDAX.BTC-USD,D,24/08/18,000000,6690.8800000
GDAX.BTC-USD,D,25/08/18,000000,6737.5200000
GDAX.BTC-USD,D,26/08/18,000000,6709.9800000
GDAX.BTC-USD,D,27/08/18,000000,6911.9000000
GDAX.BTC-USD,D,28/08/18,000000,7071.0100000
GDAX.BTC-USD,D,29/08/18,000000,7030.9000000
GDAX.BTC-USD,D,30/08/18,000000,6983.0000000
GDAX.BTC-USD,D,31/08/18,000000,7015.0100000
GDAX.BTC-USD,D,01/09/18,000000,7191.0800000
GDAX.BTC-USD,D,02/09/18,000000,7295.0000000
GDAX.BTC-USD,D,03/09/18,000000,7256.9800000
GDAX.BTC-USD,D,04/09/18,000000,7360.0000000
GDAX.BTC-USD,D,05/09/18,000000,6687.9600000
GDAX.BTC-USD,D,06/09/18,000000,6495.0000000
GDAX.BTC-USD,D,07/09/18,000000,6395.0100000
GDAX.BTC-USD,D,08/09/18,000000,6188.0000000
GDAX.BTC-USD,D,09/09/18,000000,6235.0100000
GDAX.BTC-USD,D,10/09/18,000000,6300.0000000
GDAX.BTC-USD,D,11/09/18,000000,6282.5300000
GDAX.BTC-USD,D,12/09/18,000000,6326.0000000
GDAX.BTC-USD,D,13/09/18,000000,6485.9900000
GDAX.BTC-USD,D,14/09/18,000000,6478.0400000
GDAX.BTC-USD,D,15/09/18,000000,6518.6800000
GDAX.BTC-USD,D,16/09/18,000000,6498.0000000
GDAX.BTC-USD,D,17/09/18,000000,6250.7000000
GDAX.BTC-USD,D,18/09/18,000000,6335.7000000
GDAX.BTC-USD,D,19/09/18,000000,6386.9400000
