Date;Open;ClosingPrice;DailyHigh;DailyLow;VolumePcs
12.11.2019;241,90000;239,87000;243,74000;239,50000;35518510
11.11.2019;239,00000;241,50000;242,40000;238,31000;27141630
08.11.2019;241,42000;240,17000;241,68000;238,70000;30570360
07.11.2019;238,11000;242,50000;242,95000;237,71000;44689490
06.11.2019;238,42000;239,02000;239,02000;236,52000;33409220
05.11.2019;239,60000;238,53000;240,98000;236,70000;43691630
01.11.2019;235,35000;236,40000;236,74000;232,80000;39229280
31.10.2019;240,70000;234,89000;242,00000;234,01000;60316780
30.10.2019;239,69000;239,51000;242,20000;237,85000;43597180
29.10.2019;237,10000;240,11000;240,20000;236,00000;41494140
28.10.2019;240,50000;237,03000;242,33000;235,25000;39049350
25.10.2019;242,52000;240,00000;242,77000;237,85000;49789040
24.10.2019;239,63000;242,78000;242,78000;239,06000;40384770
23.10.2019;239,20000;239,57000;240,18000;237,76000;34655410
22.10.2019;235,02000;239,77000;239,77000;235,00000;40298890
21.10.2019;236,00000;234,94000;236,88000;234,04000;28457490
18.10.2019;233,20000;235,55000;236,03000;232,80000;42729350
17.10.2019;230,70000;233,50000;233,50000;230,52000;46007620
16.10.2019;229,05000;231,00000;231,20000;229,05000;39214000
15.10.2019;228,78000;229,40000;229,88000;227,00000;30763750
14.10.2019;230,29000;228,40000;230,67000;227,82000;34628680
11.10.2019;229,50000;230,31000;231,20000;228,97000;37497240
10.10.2019;;228,50000;228,94000;225,62000;31717090
09.10.2019;226,03000;227,70000;229,00000;225,52000;39714120
08.10.2019;227,77000;226,03000;228,18000;225,15000;31019500
07.10.2019;223,13000;227,55000;227,80000;222,41000;40155510
04.10.2019;224,90000;222,76000;226,06000;221,87000;32222650
03.10.2019;223,60000;224,08000;225,64000;222,61000;38368040
02.10.2019;226,05000;223,50000;226,63000;223,03000;42441850
01.10.2019;227,55000;226,49000;229,56000;226,49000;29870590
30.09.2019;228,50000;227,71000;229,00000;226,05000;30235910
27.09.2019;229,20000;228,05000;229,96000;228,05000;18062510
26.09.2019;228,21000;229,09000;230,90000;227,71000;32739690
